smiles,adrb1,adrb2,aa2ar,drd3,cxcr4
C/C(=C/C(=O)Nc1ccc2c(c1)[nH]nn2)/Nc3ccc4c(c3)n[nH]n4,,,0.0,,
C/C(=C/C(=O)Nc1ccccc1Cl)/NNC(=O)c2ccc(c(c2)Cl)[N+](=O)[O-],,,0.0,,
C/C(=C/C(=O)Nc1nc(cs1)c2cc([nH]c2)C(=O)N)/c3ccc(cc3)F,,0.0,,,
C/C(=C/C1=c2ccccc2=[NH+][C@H]1c3ccccc3Cl)/[N+](=O)[O-],,,,0.0,
C/C(=C/CN1C(=O)[C@@H]2CC=C(C[C@H]2C1=O)Cl)/Cl,,,0.0,,
C/C(=C/COc1c(ccc2c1oc(=O)cc2)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)/CO,,,0.0,,
C/C(=C/CSc1nc2c(n1CCCc3ccccc3)c(=O)[nH]c(=O)n2C)/Cl,,,,0.0,
C/C(=C/Cc1c(ccc2c1oc(=O)c(c2)O)O)/CO[C@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O,,,0.0,,
C/C(=C/Cn1c2c(=O)[nH]c(=O)n(c2nc1N/N=C(/C)\c3ccc(cc3)[N+](=O)[O-])C)/Cl,,,0.0,,
C/C(=C/c1ccccc1)/C(=O)Nc2ccc3c(c2)c(c4c([nH+]3)CCCC4)Nc5ccc(c(c5)OC)OC,,,,0.0,
C/C(=C/c1ccccc1)/C=C/2\C(=O)N(C(=S)S2)CCC(=O)Nc3nc(cs3)c4ccccc4,,,,0.0,
C/C(=C/c1ccccc1)/C=N/N2[C@@H](N=[NH+]C2=S)c3cc[nH+]cc3,,,,,0.0
C/C(=C\1/C(=NN(C1=O)[C@@H]2Nc3ccccc3S2)CC(=O)OC)/NCCc4c[nH]c5c4cc(cc5)OC,0.0,,,,
C/C(=C\C#N)/N1C(=O)c2ccc(cc2C1=O)C(=O)Nc3ccc4c(c3)C(=O)N(C4=O)C[C@@H]5CCCO5,,,0.0,,
C/C(=C\C(=O)N1CCN(CC1)C=O)/NNC(=O)c2cccc(c2)[N+](=O)[O-],,,0.0,,
C/C(=C\C(=O)Nc1ccc(cc1)C(=O)N)/NNC(=O)c2ccc(c(c2)Cl)[N+](=O)[O-],,,0.0,,
C/C(=C\C(=O)Nc1ccc(cc1)NC(=O)C)/NNC(=O)c2cc(cc(c2)[N+](=O)[O-])N,,,0.0,,
C/C(=C\C(=O)Nc1ccc(cc1Cl)Cl)/NNC(=O)C(=O)NC2CCCCC2,,0.0,,,
C/C(=C\C(=O)Nc1ccc(cc1Cl)Cl)/NNC(=O)C(=O)NCCO,,,0.0,,
C/C(=C\C(=O)Nc1cccc(c1)[N+](=O)[O-])/NNC(=O)c2ccc(cc2O)O,,,0.0,,
C/C(=C\C(=O)Nc1cccc(c1)[N+](=O)[O-])/NNC(=O)c2ccccc2N,,,0.0,,
C/C(=C\C(=O)Nc1cccc(c1Cl)Cl)/NNC(=O)C(=O)N2CCCC2,,,0.0,,
C/C(=C\C(=O)Nc1cccc(c1Cl)Cl)/NNC(=O)C(=O)NC2CCCCC2,0.0,,,,
C/C(=C\C(=O)Nc1ccccc1)/NNC(=O)COc2ccc3ccccc3c2Br,0.0,,,,
C/C(=C\C(=O)Nc1ccccc1Br)/NNC(=O)c2cc(cc(c2)[N+](=O)[O-])N,,,0.0,,
C/C(=C\C(=O)Nc1cnc(nc1)C(C)(C)C)/C(=O)Nc2cnc(nc2)C(C)(C)C,,,0.0,,
C/C(=C\C(=O)OCCOC(=O)/C=C(\C)/NC1CC([NH2+]C(C1)(C)C)(C)C)/C2CC([NH2+]C(C2)(C)C)(C)C,,,,0.0,
C/C(=C\C(=O)OCCOCCOC(=O)/C=C(/NC1CC([NH2+]C(C1)(C)C)(C)C)\C)/NC2CC([NH2+]C(C2)(C)C)(C)C,,,0.0,,
C/C(=C\C(=O)[O-])/C(=C/c1ccc(cc1)[N+](=O)[O-])/C(=O)[O-],,,0.0,,
C/C(=C\C(=O)c1ccc(cc1)Br)/Nc2cc[nH+]cc2,,,,0.0,
C/C(=C\C=C(/Cl)\C=C)/CC1(C(=O)OC(OC1=O)(C)C)C/C(=C/C=C(\Cl)/C=C)/C,,,,0.0,
C/C(=C\C=N\N(C)c1ccccc1)/C=C\2/Cc3ccccc3C2=O,,,0.0,,
C/C(=C\CN1C(=O)[C@@H]2CC=C(C[C@@H]2C1=O)Cl)/Cl,,,0.0,,
C/C(=C\CO)/[C@@H](C[C@@H]1[C@@]2(CC[C@@H](C([C@@H]2CC[C@@]1(C)O)(C)C)O)C)O,0.0,0.0,,,
C/C(=C\CO)/[C@@H](C[C@H]1[C@@]2(CC[C@@H](C([C@@H]2CC[C@@]1(C)O)(C)C)O)C)O,,,0.0,,
C/C(=C\COC1=c2ccccc2=[NH+]C(=O)C1)/CC[C@H](C(C)(C)O)O,0.0,,,,
C/C(=C\Cc1cc(ccc1O)C(=O)O[C@H]2[C@@H](C[C@@](C[C@H]2OC(=O)c3ccccc3)(C(=O)[O-])O)O)/CO,,,0.0,,
C/C(=C\N=C\1/N=C(S1)N(Cc2ccc(c(c2OC)OC)OC)C3CCCC3)/NC4CC([NH2+]C(C4)(C)C)(C)C,,0.0,,,
C/C(=C\c1[n+](c(cs1)c2ccccc2)c3ccccc3)/Nc4ccc(cc4)Br,,,,0.0,
C/C(=C\c1cc(ccc1O)Cl)/C[NH+]2CCC3(CC2)C(=O)NCCN3,,,0.0,,
C/C(=C\c1ccccc1)/C=C(/C(=O)N/N=C/C2=c3ccccc3=[NH+]C2)\NC(=O)c4ccccc4,,,,0.0,
C/C(=C\c1ccccc1)/C=C(/C(=O)N/N=C/c2ccccc2O)\NC(=O)c3ccccc3,0.0,,,,
C/C(=C\c1ccccc1)/C=C\2/C(=O)N(C(=S)S2)CC(=O)NCCCO,0.0,,,,
C/C(=C\c1ccccc1)/C=C\2/C(=O)N(C(=S)S2)CCCC(=O)Nc3ccccc3Cl,,,,0.0,
C/C(=C\c1ccccc1)/C=C\2/C(=O)N(C(=S)S2)NC(=O)COc3cc(c(cc3Cl)Cl)Cl,,,,0.0,
C/C(=C\c1ccccc1)/C=N/N2[C@H]([NH+]=NC2=S)c3cccc(c3)Cl,,,,0.0,
C/C(=C\c1ccccc1)/C=N/N=c\2/c3ccccc3c4nncn4[nH]2,,,0.0,,
C/C(=C\c1ccccc1)/C=N/NC(=O)c2c(n(nn2)c3c(non3)N)C[NH+](C)C4CCCCC4,0.0,0.0,,,
C/C(=C\c1ccccc1)/C=N/NC(=O)c2ccccc2NS(=O)(=O)c3cccs3,,,,0.0,
C/C(=C\c1ccccc1)/CN(C(c2ccccc2)c3ccccc3)C(=O)Nc4ccc(cc4F)F,,0.0,,,
C/C(=C\c1ccccc1)/CN(CCCN2CCOCC2)C(=O)Nc3ccc(cc3Cl)Cl,0.0,,,,
C/C(=C\c1ccccc1)/CN(CCCn2cc[nH+]c2)C(=O)c3ccc(c(c3)Cl)Cl,,,,0.0,
C/C(=C\c1ccccc1)/CN(CCc2ccc(cc2Cl)Cl)C(=O)Nc3ccccc3F,,0.0,,,
C/C(=C\c1ccccc1)/C[NH+](C)Cc2nnc(n2c3cccc(c3)Cl)SCc4ccncc4,,,,0.0,
C/C(=C\c1ccccc1)/C[NH+]2CCC3(CC2)C[C@@H]3C(=O)NCc4ccccc4C(F)(F)F,,,,0.0,
C/C(=C\c1ccccc1)/C[NH+]2CCC3(CC[C@@H](O3)CNC(=O)[C@@H]4CCCO4)CC2,,,,0.0,
C/C(=C\c1ccccc1)/C[NH+]2CCC3(CC[C@H](O3)CNC(=O)[C@@H]4CCCO4)CC2,,,,0.0,
C/C(=C\c1ccccc1)/C[NH+]2CCc3c(sc(c3C(=O)OC)S(=O)(=O)NCC=C)C2,0.0,,,,
C/C(=C\c1ccccc1)/C[NH+]2C[C@@H](C[C@H]2C(=O)NCCC3=c4ccccc4=[NH+]C3)N5C=C(NN5)C(=O)OC,,,0.0,,
C/C(=C\c1ccccc1)/C[NH+]2C[C@@H](C[C@H]2C(=O)NCCc3c[nH]c4c3cccc4)N5C=C(NN5)C(=O)OC,0.0,,,,
C/C(=C\c1ccccc1)/[C@@H]2Nc3c(c4c(s3)C[NH+](CC4)C)C(=O)N2,,0.0,,,
C/C(=C\c1ccccc1F)/C(=O)NC[C@@H](c2cccs2)[NH+](C)C,,,,0.0,
C/C(=C\c1ccco1)/C=N/NC(=O)CSc2nnc(s2)SCc3cccc4c3cccc4,0.0,,,,
C/C(=C\c1ccco1)/C=N/NC(=O)c2c(n(nn2)c3c(non3)N)CNc4ccccc4C(=O)N,0.0,,,,
C/C(=C\c1ccco1)/C=N/NC(=O)c2c(n(nn2)c3c(non3)N)C[NH+](C)C4CCCCC4,0.0,,,,
C/C(=C\c1ccco1)/C[NH+](C)C[C@@H]2CC(=O)N(C2)C3CCCC3,,,,0.0,
C/C(=C\c1ccco1)/C[NH+]2CCOc3ccc(cc3C2)[C@](C)(COc4ccccc4)O,,,,0.0,
C/C(=C\c1ccco1)/[C@@H](CC(=O)N)[NH3+],0.0,,,,
C/C(=C\c1ccco1)/[C@H](CC(=O)N)[NH3+],0.0,,,,
C/C(=C\c1cccs1)/C(=O)NC[C@H](c2ccc3c(c2)OCO3)[NH+](C)C,,,,0.0,
C/C(=C\c1nc(sn1)Nc2ccc(c(c2)Cl)F)/[NH+](Cc3ccc(cc3)N(C)C)Cc4cccnc4,0.0,,,,
C/C(=N/C1CC([NH2+]C(C1)(C)C)(C)C)/c2c([nH]n(c2=O)c3ccccc3)CC(=O)OC,,,0.0,,
C/C(=N/CCNC(=O)c1nc([nH]n1)N)/c2c([nH]c(=O)sc2=O)[O-],,,0.0,,
C/C(=N/N1CC[NH+](CC1)C)/c2c([nH]n(c2=O)c3nc4ccccc4s3)C(F)(F)F,,,0.0,,
C/C(=N/N1CC[NH+](CC1)C2c3ccccc3-c4c2cccc4)/c5ccco5,,,,0.0,
C/C(=N/N=C/1\NC(=O)C[C@H](S1)C(=O)NCCc2ccc(c(c2)OC)OC)/CCc3ccc4c(c3)OCO4,,0.0,,,
C/C(=N/NC(=O)C(=O)N)/c1ccc(cc1)NC(=O)c2ccc(cc2Cl)Cl,,,0.0,,
C/C(=N/NC(=O)CCCSc1nnc(n1N)c2ccccc2Br)/c3ccc4c(c3)OCO4,,0.0,,,
C/C(=N/NC(=O)CCCSc1nnc(n1N)c2ccccc2O)/c3ccccn3,0.0,,,,
C/C(=N/NC(=O)CNc1cccc(c1)Cl)/CCc2ccco2,0.0,,,,
C/C(=N/NC(=O)CSC1C[NH+](C1)C(c2ccccc2)c3ccccc3)/c4ccc(cc4)[N+](=O)[O-],,,,0.0,
C/C(=N/NC(=O)CSC1[NH+]=c2ccccc2=[NH+]1)/c3ccc(cc3)Br,,,,0.0,
C/C(=N/NC(=O)CSC1[NH+]=c2ccccc2=[NH+]1)/c3cccc(c3)Br,,,,,0.0
C/C(=N/NC(=O)Cc1cc(n[nH]1)O)/c2ccc(cc2)[N+](=O)[O-],,,0.0,,
C/C(=N/NC(=O)N)/CC[C@@H]1[C@]2(CCCC([C@H]2CC[C@]1(C)O)(C)C)C,0.0,,,,
